x,10A,9A,10B,9B,8B,7B,6B,5B,4B,3B,2B
x,8A,7A,10B,9B,8B,7B,6B,5B,4B,3B,2B
x,6A,5A,10B,9B,8B,7B,6B,5B,4B,3B,2B
x,4A,3A,10B,9B,8B,7B,6B,5B,4B,3B,2B
x,2A,1A,10B,9B,8B,7B,6B,5B,4B,3B,2B
x,o,o,o,o,o,o,o,o,o,o,1B
x,o,o,o,o,o,o,o,o,o,o,1B
x,o,o,o,o,o,o,o,o,o,o,o
