x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,o,o,o,o,o,o,o,o,o,o,x,x
x,x,9A,9A,9A,9A,9A,9A,9A,9A,9A,9A,o,o,o,o,o,o,o,o,o,o,x,x
x,x,8A,8A,8A,8A,8A,8A,8A,8A,8A,8A,10A,10A,10A,10A,10A,10A,10A,10A,10A,10A,x,x
x,x,7A,7A,7A,7A,7A,7A,7A,7A,7A,7A,9A,9A,9A,9A,9A,9A,9A,9A,9A,9A,x,x
x,x,6A,6A,6A,6A,6A,6A,6A,6A,6A,6A,8A,8A,8A,8A,8A,8A,8A,8A,8A,8A,x,x
x,x,5A,5A,5A,5A,5A,5A,5A,5A,5A,5A,7A,7A,7A,7A,7A,7A,7A,7A,7A,7A,x,x
x,x,4A,4A,4A,4A,4A,4A,4A,4A,4A,4A,6A,6A,6A,6A,6A,6A,6A,6A,6A,6A,x,x
x,x,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,5A,5A,5A,5A,5A,5A,5A,5A,5A,5A,x,x
x,x,2A,2A,2A,2A,2A,2A,2A,2A,2A,2A,4A,4A,4A,4A,4A,4A,4A,4A,4A,4A,x,x
x,x,1A,1A,1A,1A,1A,1A,1A,1A,1A,1A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,x,x
x,x,10A,9A,8A,7A,6A,5A,4A,3A,2A,1A,2A,2A,2A,2A,2A,2A,2A,2A,2A,2A,x,x
x,x,10A,9A,8A,7A,6A,5A,4A,3A,2A,1A,1A,1A,1A,1A,1A,1A,1A,1A,1A,1A,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
